naam,start_time,1_tijd,vragen_goed,1,2_tijd,2,3_tijd,3,eind_time,tijd_delta
w,1652010574.1591024,1.5016634464263916,1,False,0.6488015651702881,True,0.549363374710083,False,1652010582.02744,7.868337631225586
w,1652112574.7550871,3.4503705501556396,1,False,1.8754518032073975,True,1652112583.6333735,8.878286361694336
1,1652112588.8636403,2.8647708892822266,1,True,0.9315218925476074,False,1652112596.1417532,7.278112888336182
a,1652112600.9151237,30.993828058242798,0,False,1.1523451805114746,False,1652112636.5172272,35.60210347175598
q,1652112666.0432682,9.606431484222412,1,True,1.4244229793548584,False,1652112680.6020539,14.558785676956177
w,1652128484.2040324,1.3541293144226074,1,True,0.34746599197387695,False,1652128489.405217,5.201184511184692
w,1652128665.5780559,1.0460500717163086,0,False,0.5735881328582764,False,1652128670.7114246,5.133368730545044
d,1652128878.0856338,0.9239397048950195,0,False,0.3147909641265869,False,1652128882.834218,4.748584270477295
w,1652129115.8339124,2.822880983352661,0,False,0.9413013458251953,False,1652129123.0890257,7.255113363265991
w,1652129329.9654896,0.8276729583740234,0,False,0.7901816368103027,False,1652129335.072235,5.106745481491089
a,1652129751.649935,0.5723850727081299,0,False,0.12969708442687988,False,1652129755.8488467,4.198911666870117
s,1652129813.8227623,0.8408095836639404,1,True,0.27820539474487305,False,1652129818.4107888,4.588026523590088
a,1652129894.1826346,0.6885800361633301,0,False,1.1025886535644531,False,1652129899.4723876,5.289752960205078
w,1652129977.7264936,0.9190154075622559,1,True,0.8400797843933105,False,1652129982.9842145,5.257720947265625
a,1652130129.4551704,1.0551996231079102,1,False,0.4484443664550781,True,1652130134.4372861,4.982115745544434
s,1652130290.4876566,1.251924991607666,0,False,0.8306589126586914,False,1652130296.0482259,5.5605692863464355
w,1652130407.444161,1.3988361358642578,0,False,0.2227308750152588,False,1652130412.5659957,5.121834754943848
w,1652130495.1909153,0.9029231071472168,0,False,1.0815894603729248,False,1652130500.7140205,5.523105144500732
k,1652130556.0977843,2.0173685550689697,0,False,1.6108999252319336,False,1652130563.3013592,7.203574895858765
q,1652130612.3923872,1.1577448844909668,0,False,0.32102108001708984,False,1652130617.4013622,5.008975028991699
a,1652130643.4668992,1.00278639793396,0,False,0.28415799140930176,False,1652130648.3126533,4.845754146575928
w,1652130782.331598,0.8568730354309082,1,True,0.931915283203125,False,1652130787.686568,5.3549699783325195
q,1652130794.755642,1.3126051425933838,0,False,1.3080275058746338,False,1652130800.9390402,6.183398246765137
w,1652368567.1334953,1.17856764793396,1,True,0.37038660049438477,False,1652368572.1831088,5.0496134757995605
q,1652368574.0331297,0.885312557220459,0,False,0.35440969467163086,False,1652368578.7181978,4.685068130493164
h,1652368582.6250458,0.5513951778411865,0,False,0.227769136428833,False,1652368586.8421404,4.217094659805298
